Repository,Tag,Base Image,Aliases,Dockerfile
vromero/activemq-artemis,2.16.0,arm64v8/eclipse-temurin:8-jre,vromero/activemq-artemis:2.16-latest vromero/activemq-artemis:2-latest vromero/activemq-artemis:latest,Dockerfile
vromero/activemq-artemis,2.16.0-alpine,arm64v8/eclipse-temurin:8-jre,vromero/activemq-artemis:2.16-alpine-latest vromero/activemq-artemis:2-alpine-latest vromero/activemq-artemis:alpine-latest,Dockerfile.alpine
